Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-06-04,Dinner,513.6,23.0,6.4,0.7,2.2,0.0,129.0,504.3,796.6,25.1,4.5,3.9,53.1,0.0,0.0,7.3,11.6,
2024-06-04,Lunch,555.3,23.6,4.0,5.6,6.4,0.0,205.5,1360.5,66.0,39.7,0.6,0.3,47.1,0.0,0.0,2.4,4.6,
2024-06-04,Snacks,240.0,1.2,0.2,0.4,0.2,0.0,0.0,8.0,896.0,60.4,3.2,49.6,4.8,0.0,108.0,5.6,10.6,
2024-06-05,Breakfast,190.0,4.8,3.1,0.0,0.0,0.0,0.0,48.0,209.4,15.1,0.7,14.1,22.3,2.4,0.0,18.4,0.0,
2024-06-05,Dinner,679.4,41.2,4.7,11.5,10.6,0.0,0.0,1358.0,515.4,41.7,7.8,4.0,39.2,0.0,223.0,11.4,11.1,
2024-06-05,Lunch,490.9,16.4,7.4,0.6,1.7,0.0,103.2,395.7,340.8,45.9,2.9,5.2,42.1,0.4,3.2,1.6,4.7,
2024-06-05,Snacks,169.3,8.4,1.4,0.2,0.7,0.0,43.0,164.0,142.0,7.2,0.0,5.5,16.3,0.0,0.0,0.7,1.3,
2024-06-06,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
2024-06-06,Dinner,581.0,30.3,11.6,0.0,0.0,0.0,0.0,66.8,301.1,50.2,2.7,14.5,26.1,0.0,7.2,1.6,3.8,
2024-06-06,Lunch,564.8,17.6,8.4,0.7,2.2,0.0,129.0,988.7,771.0,48.3,4.7,9.6,56.1,0.0,5.0,2.0,8.8,
2024-06-06,Snacks,157.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.6,9.6,20.0,0.0,0.0,0.0,0.0,
2024-06-07,Breakfast,130.1,7.2,4.6,0.0,0.0,0.0,0.0,80.0,349.0,9.4,0.0,9.4,7.8,4.0,0.0,30.6,0.0,
2024-06-07,Dinner,689.6,30.1,12.3,0.9,4.9,0.0,0.0,2592.3,242.5,52.8,3.8,12.1,51.7,3.5,5.0,6.0,0.3,
2024-06-07,Lunch,512.3,10.1,2.8,0.0,0.0,0.0,0.0,1300.5,0.0,43.6,3.5,5.9,63.4,0.0,0.0,0.0,0.0,
2024-06-07,Snacks,213.6,13.2,1.3,0.0,0.0,0.0,0.0,120.2,0.0,22.4,1.3,1.1,2.1,0.0,0.0,0.0,0.0,
2024-06-08,Dinner,685.1,23.9,16.3,0.7,7.4,0.0,174.0,785.1,495.2,52.0,1.3,3.8,61.3,0.0,5.0,17.7,21.5,
2024-06-08,Lunch,526.6,17.6,10.0,0.0,0.0,0.0,0.0,923.5,0.0,35.9,0.0,3.3,55.7,0.0,0.0,0.0,0.0,
2024-06-08,Snacks,1402.8,0.8,0.0,0.1,0.1,0.0,0.0,32.1,458.2,41.3,0.7,34.8,2.9,0.0,118.6,13.9,1.9,
2024-06-09,Breakfast,664.7,19.7,1.0,1.0,0.4,0.0,0.0,681.3,113.3,83.3,2.4,9.7,38.4,0.0,1.2,12.1,20.8,
2024-06-09,Dinner,844.0,57.1,13.3,0.0,0.0,0.0,0.0,1.8,0.0,20.8,5.1,2.2,64.3,0.0,0.0,0.0,0.0,
2024-06-09,Lunch,565.0,17.5,6.8,0.0,0.0,0.5,40.0,870.0,0.0,86.5,3.5,45.0,16.5,6.0,6.0,21.0,17.0,
2024-06-09,Snacks,631.0,26.5,11.5,0.0,0.0,0.0,0.0,0.2,0.0,88.1,0.4,1.1,9.0,0.0,0.0,0.0,0.0,
2024-06-10,Breakfast,191.3,9.0,5.8,0.0,0.0,0.0,0.0,100.0,436.2,18.9,0.0,18.2,9.8,5.0,0.0,38.2,0.0,
2024-06-10,Dinner,491.8,22.8,11.6,0.0,0.0,0.0,0.0,1005.3,0.0,50.9,2.7,3.9,21.8,0.0,0.0,0.0,0.0,
2024-06-10,Lunch,394.4,17.1,11.1,0.0,0.0,0.0,0.0,102.1,236.3,42.0,3.8,5.2,20.9,0.0,8.3,1.8,7.7,
2024-06-10,Snacks,179.0,8.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,15.1,7.2,0.0,0.0,0.0,0.0,
2024-06-11,Breakfast,81.3,4.5,2.9,0.0,0.0,0.0,0.0,50.0,218.1,5.9,0.0,5.9,4.9,2.5,0.0,19.1,0.0,
2024-06-11,Dinner,590.5,27.3,10.8,2.4,3.2,0.0,141.0,198.3,363.0,39.8,2.7,3.3,44.7,2.4,0.0,5.1,6.8,
2024-06-11,Lunch,478.8,23.1,9.8,1.0,4.9,0.0,0.0,9.0,464.0,42.2,6.9,5.6,27.6,3.5,31.6,7.0,1.5,
2024-06-11,Snacks,133.9,8.7,1.4,0.0,0.0,0.0,0.0,12.2,52.4,12.1,0.3,2.3,2.2,0.6,0.0,4.6,0.0,
2024-06-12,Breakfast,81.3,4.5,2.9,0.0,0.0,0.0,0.0,50.0,218.1,5.9,0.0,5.9,4.9,2.5,0.0,19.1,0.0,
2024-06-12,Dinner,572.9,36.0,2.7,0.0,0.0,0.0,0.0,38.8,743.7,33.2,6.9,10.8,32.7,45.9,67.4,9.5,7.4,
2024-06-12,Lunch,547.0,23.0,10.8,2.4,3.2,0.0,141.0,198.3,363.0,39.1,2.7,3.3,44.0,2.4,0.0,5.1,6.8,
2024-06-12,Snacks,136.0,6.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,15.1,2.2,0.0,0.0,0.0,0.0,
2024-06-13,Breakfast,156.0,8.6,5.5,0.0,0.0,0.0,0.0,96.0,418.8,11.3,0.0,11.3,9.4,4.8,0.0,36.7,0.0,
2024-06-13,Dinner,566.6,36.1,7.6,3.6,12.8,0.0,163.7,514.4,416.3,13.1,1.6,2.4,46.3,2.8,0.0,2.0,8.7,
2024-06-13,Lunch,468.3,21.8,8.0,1.2,5.9,0.0,0.0,11.7,569.0,43.6,8.2,5.8,27.2,0.0,43.4,1.9,3.3,
2024-06-13,Snacks,159.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.6,9.6,20.0,0.0,0.0,0.0,0.0,
2024-06-14,Breakfast,169.0,9.3,6.0,0.0,0.0,0.0,0.0,104.0,453.7,12.2,0.0,12.2,10.2,5.2,0.0,39.8,0.0,
2024-06-14,Dinner,471.3,18.9,6.9,0.0,0.0,0.0,0.0,1837.5,0.0,56.3,3.7,5.7,20.8,0.0,0.0,0.0,0.0,
2024-06-14,Lunch,309.0,15.1,1.1,0.0,0.0,0.0,0.0,32.0,0.0,26.3,0.7,0.6,16.7,0.0,0.0,0.0,0.0,
2024-06-14,Snacks,146.3,1.9,0.5,0.0,0.0,0.0,0.0,941.0,203.8,3.7,0.0,2.1,27.1,0.6,35.4,0.7,1.0,
2024-06-15,Breakfast,1077.8,70.9,16.6,3.7,12.3,0.0,442.2,1620.0,901.9,58.9,6.7,24.0,55.0,6.0,3.0,69.9,20.3,
2024-06-15,Dinner,1131.2,37.9,4.8,8.3,4.0,0.4,9.3,449.4,628.1,96.4,0.1,39.1,42.0,0.4,200.4,5.1,0.4,
2024-06-15,Lunch,452.8,0.2,0.0,0.0,0.0,0.0,0.0,9.9,269.2,36.8,0.1,33.4,1.1,10.1,105.0,2.4,4.5,
2024-06-15,Snacks,1870.1,33.4,6.4,0.0,0.0,0.0,80.0,1228.5,6.7,21.2,0.8,0.8,40.5,0.0,3.0,25.0,1.8,
2024-06-16,Breakfast,382.1,14.9,4.5,2.7,4.4,0.0,186.0,569.3,69.0,42.1,7.7,9.9,30.9,0.0,0.0,2.8,4.9,
2024-06-16,Dinner,510.9,34.0,19.4,2.0,3.2,0.0,72.2,326.2,139.5,42.8,0.3,34.3,8.3,61.2,0.0,5.7,2.8,
2024-06-16,Lunch,535.8,18.7,7.7,2.6,5.6,0.0,296.3,345.8,556.4,41.1,2.2,1.5,49.7,3.2,0.0,3.2,11.4,
2024-06-17,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
2024-06-17,Dinner,567.2,21.4,7.9,2.8,5.3,0.0,0.0,112.4,0.0,45.2,5.2,3.6,51.1,0.0,0.0,0.0,0.0,
2024-06-17,Lunch,491.9,20.0,4.4,1.0,1.6,0.0,103.4,1508.5,266.2,43.7,2.3,4.3,32.6,1.8,0.0,0.8,5.0,
2024-06-17,Snacks,32.0,2.2,0.4,0.0,0.6,0.0,0.0,279.0,0.0,0.5,0.1,0.0,2.7,0.0,0.0,0.0,0.0,
2024-06-18,Breakfast,96.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,10.0,0.0,9.6,4.7,2.4,0.0,18.4,0.0,
2024-06-18,Dinner,460.3,14.7,6.0,0.6,6.0,0.0,0.0,42.2,100.6,45.9,3.7,6.4,38.4,7.1,5.3,1.8,5.3,
2024-06-18,Lunch,567.2,21.4,7.9,2.8,5.3,0.0,0.0,112.4,0.0,45.2,5.2,3.6,51.1,0.0,0.0,0.0,0.0,
2024-06-18,Snacks,180.5,0.7,1.4,0.0,0.0,0.0,0.0,499.5,0.0,59.2,7.7,10.8,12.0,0.0,0.0,100.0,0.0,
2024-06-19,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-19,Dinner,490.5,16.3,5.5,0.6,0.6,0.0,0.0,220.2,2.6,56.6,0.0,7.8,28.8,0.0,0.0,0.0,0.1,
2024-06-19,Lunch,460.3,14.7,6.0,0.6,6.0,0.0,0.0,42.2,100.6,45.9,3.7,6.4,38.4,7.1,5.3,1.8,5.3,
2024-06-19,Snacks,164.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,26.7,7.7,10.3,9.7,0.0,0.0,0.0,0.0,
2024-06-20,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-20,Dinner,743.1,25.4,3.9,0.4,2.8,0.4,92.5,293.1,640.1,83.3,2.9,5.8,49.9,0.0,1.7,0.1,22.6,
2024-06-20,Lunch,521.5,16.5,5.6,0.7,0.6,0.0,0.0,226.2,213.6,63.6,2.7,11.1,30.6,0.0,20.3,3.7,5.8,
2024-06-20,Snacks,188.5,1.0,1.3,0.0,0.0,0.0,0.0,3.8,0.0,44.7,7.7,11.4,12.8,0.0,0.0,100.0,0.0,
2024-06-21,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-21,Lunch,422.5,16.4,5.0,0.1,0.9,0.0,0.0,57.7,0.0,32.2,1.5,1.9,37.8,0.0,0.0,0.0,0.0,
2024-06-21,Snacks,996.5,40.8,17.5,0.1,0.0,0.0,0.0,2456.2,211.0,132.5,14.6,21.3,34.2,0.0,20.3,3.7,5.7,
2024-06-22,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-22,Dinner,538.6,21.7,8.9,1.5,2.8,0.0,141.0,881.5,530.3,40.4,2.5,4.8,44.6,2.4,3.0,1.5,8.6,
2024-06-22,Lunch,501.9,32.4,6.0,0.9,1.8,0.0,205.5,238.5,66.0,34.5,3.2,2.1,20.3,0.0,0.0,2.4,4.6,
2024-06-22,Snacks,314.1,3.4,0.5,0.5,1.6,0.0,0.0,31.2,278.0,12.8,2.7,7.1,5.8,0.0,33.4,101.2,1.5,
2024-06-23,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-23,Dinner,538.6,21.7,8.9,1.5,2.8,0.0,141.0,881.5,530.3,40.4,2.5,4.8,44.6,2.4,3.0,1.5,8.6,
2024-06-23,Lunch,527.8,20.8,5.6,1.4,2.2,0.0,141.0,144.0,363.0,33.2,1.5,2.7,51.4,2.4,0.0,1.0,6.8,
2024-06-23,Snacks,123.3,9.0,3.6,0.1,0.0,0.0,0.0,1.6,116.3,6.3,1.5,3.7,5.5,0.6,74.5,1.2,1.7,
2024-06-24,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
2024-06-24,Dinner,488.7,20.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.3,0.1,28.8,0.0,0.0,0.0,0.0,
2024-06-24,Lunch,496.2,34.9,2.9,1.6,7.2,0.0,15.0,213.2,191.2,9.2,3.9,1.5,37.9,7.1,6.5,20.3,1.1,
2024-06-24,Snacks,99.0,8.8,3.6,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
2024-06-25,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-25,Dinner,515.3,17.0,7.4,0.0,0.0,0.0,0.0,12.5,52.4,33.8,1.6,3.8,57.8,0.6,0.0,4.6,0.0,
2024-06-25,Lunch,516.9,25.1,6.9,0.4,1.0,0.0,0.0,792.7,212.8,45.5,4.4,12.2,32.2,1.8,25.7,12.1,3.2,
2024-06-25,Snacks,201.8,12.1,5.1,0.1,0.1,0.0,15.0,162.6,197.1,13.9,0.7,11.0,11.5,6.0,23.8,21.2,2.3,
2024-06-26,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-26,Dinner,472.2,16.2,8.7,0.5,1.4,0.0,86.0,338.3,284.0,38.4,1.5,2.6,43.2,0.0,0.0,1.3,2.6,
2024-06-26,Lunch,468.1,13.3,2.9,0.7,1.4,0.0,101.0,492.0,583.3,44.1,2.8,11.8,46.0,6.0,36.1,22.9,5.1,
2024-06-26,Snacks,207.5,9.7,3.6,0.0,0.0,0.0,0.0,0.8,0.0,9.5,0.0,0.1,21.9,0.0,0.0,0.0,0.0,
2024-06-27,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
2024-06-27,Dinner,504.8,19.2,10.8,0.5,1.4,0.0,86.0,338.3,284.0,39.3,1.5,3.2,43.8,0.0,0.0,1.3,2.6,
2024-06-27,Lunch,522.4,14.6,6.9,0.7,1.9,0.0,131.1,711.1,407.3,48.6,2.6,6.9,52.0,18.9,6.8,21.9,4.2,
2024-06-27,Snacks,207.5,9.7,3.6,0.0,0.0,0.0,0.0,0.8,0.0,9.5,0.0,0.1,21.9,0.0,0.0,0.0,0.0,
2024-06-28,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-28,Dinner,498.7,26.3,3.5,0.7,3.5,0.0,0.0,176.5,211.1,34.4,4.9,2.4,32.3,19.4,15.7,0.5,2.1,
2024-06-28,Lunch,436.1,21.1,1.8,0.2,0.7,0.0,43.0,164.9,142.0,39.2,3.3,7.6,24.8,0.0,0.0,0.7,1.3,
2024-06-28,Snacks,129.0,9.0,3.6,0.1,0.0,0.0,0.0,1.8,112.0,8.2,0.4,6.3,5.0,0.0,13.5,0.7,1.3,
2024-06-29,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-29,Dinner,399.8,27.1,8.2,0.0,0.0,0.0,0.0,40.2,0.0,10.0,4.5,2.1,31.4,0.0,0.0,0.0,0.0,
2024-06-29,Lunch,440.2,21.0,2.7,0.0,0.0,0.0,0.0,174.0,34.1,31.4,2.4,2.1,31.6,18.4,9.7,0.2,1.1,
2024-06-29,Snacks,168.8,11.9,5.2,0.0,0.0,0.0,15.0,160.8,0.0,3.6,0.0,3.1,11.2,6.0,0.0,20.0,0.0,
2024-06-30,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-06-30,Dinner,602.9,25.9,9.7,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4.7,16.3,27.9,0.0,79.5,0.0,0.0,
2024-06-30,Lunch,540.7,14.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,49.6,2.8,3.8,53.9,0.0,0.0,0.0,0.0,
2024-06-30,Snacks,164.4,10.6,2.2,0.0,0.0,0.0,15.0,160.2,0.0,10.7,0.3,0.9,7.0,6.0,0.0,20.0,0.0,
2024-07-01,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-01,Dinner,62.0,4.6,2.1,0.0,0.0,0.0,0.0,93.0,0.0,3.6,0.3,2.0,1.7,0.0,0.0,0.0,0.0,
2024-07-01,Lunch,431.6,16.2,6.9,1.0,2.6,0.0,32.3,607.8,465.1,36.2,2.5,4.9,36.1,87.1,5.5,1.8,4.1,
2024-07-01,Snacks,766.0,29.7,10.3,0.0,0.0,0.0,15.0,760.0,0.0,92.9,4.8,11.7,34.3,6.0,0.0,20.0,0.0,
2024-07-02,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-02,Dinner,457.9,14.6,5.3,0.0,0.0,0.0,0.0,335.5,6.1,52.6,0.1,3.8,28.6,0.2,1.8,0.2,0.3,
2024-07-02,Lunch,468.6,32.4,8.1,4.6,14.6,0.1,278.1,1215.5,1186.7,9.0,5.0,1.6,35.9,2.2,12.0,3.7,10.2,
2024-07-02,Snacks,99.0,8.8,3.6,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
2024-07-03,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-03,Dinner,668.7,26.2,10.2,0.0,0.0,0.0,0.0,6.6,226.3,73.7,2.6,14.5,32.9,0.0,18.6,3.1,1.6,
2024-07-03,Lunch,480.8,14.6,5.3,0.0,0.0,0.0,0.0,335.5,6.1,59.1,0.1,9.9,28.6,0.2,1.8,0.2,0.3,
2024-07-03,Snacks,221.8,12.8,0.0,0.1,0.0,0.0,0.0,0.4,58.1,23.1,0.8,1.9,2.4,0.3,37.2,0.6,0.9,
2024-07-04,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-04,Dinner,407.2,16.0,6.7,0.0,0.0,0.0,0.0,370.3,52.1,49.0,2.5,3.5,17.9,0.0,3.2,0.9,1.0,
2024-07-04,Lunch,668.7,26.2,10.2,0.0,0.0,0.0,0.0,6.6,226.3,73.7,2.6,14.5,32.9,0.0,18.6,3.1,1.6,
2024-07-04,Snacks,99.0,8.8,3.6,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
2024-07-05,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-05,Dinner,590.1,21.6,8.0,2.1,3.7,0.0,285.9,529.9,458.3,49.6,1.4,4.2,46.5,2.8,0.0,2.6,10.6,
2024-07-05,Lunch,407.2,16.0,6.7,0.0,0.0,0.0,0.0,370.3,52.1,49.0,2.5,3.5,17.9,0.0,3.2,0.9,1.0,
2024-07-05,Snacks,562.6,32.3,11.6,0.0,0.0,0.0,0.0,0.8,0.0,47.8,3.1,7.2,21.9,0.0,0.0,0.0,0.0,
2024-07-06,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-06,Dinner,570.7,25.2,5.1,2.8,9.2,0.0,138.2,1703.1,709.7,52.0,8.1,6.2,36.5,4.4,12.0,1.5,8.6,
2024-07-06,Lunch,640.0,14.0,0.0,0.0,0.0,0.0,0.0,3388.0,0.0,76.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,
2024-07-06,Snacks,327.9,16.7,4.4,0.1,0.0,0.0,0.0,1.0,384.7,38.0,2.3,19.5,6.9,0.0,23.6,0.6,0.0,
2024-07-07,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-07,Dinner,446.0,27.5,6.2,0.0,0.0,0.0,0.0,12.1,302.5,20.4,3.1,6.8,31.2,0.0,0.0,0.0,0.0,
2024-07-07,Lunch,540.4,21.9,4.5,2.2,6.4,0.0,138.2,2216.4,568.1,43.8,5.0,5.4,42.0,3.6,7.2,1.3,7.8,
2024-07-07,Snacks,523.3,28.8,10.1,0.0,0.0,0.0,15.0,244.0,0.1,55.0,3.3,7.8,12.7,6.0,0.0,20.0,2.4,
2024-07-08,Breakfast,156.0,8.6,5.6,0.0,0.0,0.0,0.0,96.0,418.8,11.2,0.0,11.2,9.4,4.8,0.0,36.8,0.0,
2024-07-08,Dinner,758.3,24.8,10.1,0.0,0.0,0.0,0.0,1.7,0.0,99.6,5.6,9.1,34.4,0.0,0.0,0.0,0.0,
